#,What was the purpose of your trip when you used handy?,rate,Unlimited data/internet browsing,Speed of internet connection,Unlimited international calls,Unlimited local calls,Direct dial to hotel reception,Newsfeed,LUXOS City Guide,Discounted deals/tickets,Battery life,Is there any feature you would like handy to add or improve?,Adventure Junky,Culture Lover,Fashionista,Pampering Seeker,Foodie,Local Explorer,Night Owl,Other,Are you a planner or a spontaneous traveler?,Would you likely pick a hotel that has handy in the future?,Would you likely recommend handy to a friend of colleague?,survey,Start Date (UTC),Submit Date (UTC),Network ID
28aebc19a4e58d8920314e2f3ea469c1,Business,5,5,5,5,4,4,4,4,4,2,The battery percentage not shown although the option is selected in the phone.,Adventure Junky,,,,Foodie,Local Explorer,Night Owl,,I like to plan everything before the trip,1,9,58c66926-559a-11e7-89c7-c05627b0f912,2017-06-21 03:14:40,2017-06-21 03:16:49,93cdd3b2fd
772424088a019f4bd72a3b666f8b370b,Leisure,5,3,5,5,5,1,3,3,3,5,a bit troublesome to refresh the Internet every half an hour,,Culture Lover,,Pampering Seeker,Foodie,Local Explorer,,,I like to plan everything before the trip,1,10,7662a47a-559a-11e7-8471-c05627b0f912,2017-06-21 03:13:52,2017-06-21 03:16:59,e3aaf3fa06
8bc05d5a95465c75e2c882369f5e20d2,Leisure,2,5,3,4,5,3,1,1,1,1,Battery life,,,,,Foodie,Local Explorer,,,I like to plan everything before the trip,1,5,593e9f73-559a-11e7-8c61-c05627b0f912,2017-06-21 03:15:38,2017-06-21 03:17:00,2405:204:1
358485d835185b011abd969f5545ca0d,Leisure,5,5,5,3,5,5,5,5,5,5,,,,,,,Local Explorer,,,I would like to ask for suggestions,1,10,7fa423dc-559a-11e7-bcd7-c05627b0f912,2017-06-21 03:12:30,2017-06-21 03:17:01,5114b7b2fc
d71c713c4b865a888e6e3ba75ed2a569,Leisure,5,5,4,5,2,3,2,5,4,3,,,,,,Foodie,,,,I like to plan everything before the trip,1,9,6a5c269e-559a-11e7-8043-c05627b0f912,2017-06-21 03:15:04,2017-06-21 03:17:05,2001:2d8:e
db53ea25e04ec1502ffaae4bd1090488,Leisure,4,4,3,5,5,3,5,3,4,5,,Adventure Junky,,,,Foodie,,,,I like to plan everything before the trip,1,10,56037254-559a-11e7-ba44-c05627b0f912,2017-06-21 03:15:39,2017-06-21 03:17:06,5a0d7ff2fa
67f6764bf8edb9f9fc5a170e6252b99a,Leisure,5,5,4,5,5,5,5,5,5,5,,,,,,,,,Family holiday ,I like to plan everything before the trip,1,10,560bc191-559a-11e7-a929-c05627b0f912,2017-06-21 03:15:19,2017-06-21 03:17:07,19f26554d8
dc7ab9c12d47c4a5b97cea9e548edbe4,Leisure,5,5,4,5,5,5,5,5,5,5,Great services,Adventure Junky,Culture Lover,Fashionista,,Foodie,Local Explorer,,,I like to plan everything before the trip,1,10,5b9c411e-559a-11e7-a84e-c05627b0f912,2017-06-21 03:16:12,2017-06-21 03:17:20,2601:648:8
d936e1b9e28b5234021420670e144326,Leisure,5,5,4,5,5,4,4,5,4,5,
,,,,,,Local Explorer,,,I like to plan everything before the trip,1,10,5541c214-559a-11e7-afda-c05627b0f912,2017-06-21 03:13:04,2017-06-21 03:17:29,5778d84f5d
81d3a273a1fdb31e1eb88c597d449dc4,Leisure,4,5,4,5,3,3,3,2,2,4,Local calls were difficult: local couldn't call my number
It was easier to call overseas!,Adventure Junky,Culture Lover,,,Foodie,,,,I would like to ask for suggestions,1,9,566570a8-559a-11e7-a799-c05627b0f912,2017-06-21 03:14:24,2017-06-21 03:17:30,3baac693be
dc9bf01c1277df4ab322b99d98857d31,Leisure,5,5,4,1,2,2,2,2,3,3,,,,,,Foodie,,,,I like to plan everything before the trip,1,10,7d8bc7c2-559a-11e7-8fbe-c05627b0f912,2017-06-21 03:07:49,2017-06-21 03:17:31,2831519d70
10d160274e950eb7f02d2ce0e049e293,Leisure,3,3,4,2,2,3,3,3,3,3,No,Adventure Junky,Culture Lover,,,,Local Explorer,,,I like to plan everything before the trip,1,9,7bf66900-559a-11e7-b305-c05627b0f912,2017-06-21 03:13:54,2017-06-21 03:17:41,818f9fafe8
b64ed822934710a6f29e08e3c9d63e66,Leisure,3,5,5,4,4,4,3,4,4,3,Please do make your handy gadget more reliable. When i use it, the phone take so long to open an app. it bothers me when i need a quick info on my trip.,,Culture Lover,,,Foodie,,,,I just go with the flow,1,7,69ae23a8-559a-11e7-9c91-c05627b0f912,2017-06-21 03:14:08,2017-06-21 03:17:41,b57fa50e6e
bb1251a68a89d90cfd5a3aa01c460792,Business,5,5,5,5,5,5,5,5,5,5,,,,,,Foodie,,,,I would like to ask for suggestions,1,10,7cb1c6bd-559a-11e7-ab19-c05627b0f912,2017-06-21 03:16:21,2017-06-21 03:17:41,afd850f21e
25f8ab1eeb0bb19f591f175520bb082a,Leisure,5,5,5,5,5,5,5,5,5,5,,,,,,Foodie,,,,I would like to ask for suggestions,1,10,44711105-559a-11e7-a43a-c05627b0f912,2017-06-21 03:15:37,2017-06-21 03:17:44,0c65a50437
772a4342be4a977f9a6a0fcf3a741811,Leisure,1,1,1,1,1,1,1,1,1,1,Make it much easier to set up and use. I could not get it started.,,Culture Lover,,,,,,,I like to plan everything before the trip,0,1,6fc56726-559a-11e7-a7d0-c05627b0f912,2017-06-21 03:15:10,2017-06-21 03:17:47,f3285026f4
061e178debe612f50ccdfc1cb39557ab,Leisure,4,5,4,3,5,5,5,5,3,5,,,,Fashionista,,,,,,I like to plan everything before the trip,1,10,516dd880-559a-11e7-9599-c05627b0f912,2017-06-21 03:15:32,2017-06-21 03:18:06,c49f31c1d1
2584cff03fe7748d5a7e2e9d59db15a9,Leisure,4,5,3,5,5,5,3,4,3,5,,,,,,Foodie,,Night Owl,,I like to plan everything before the trip,1,7,45e8b14c-559a-11e7-b8d1-c05627b0f912,2017-06-21 03:16:05,2017-06-21 03:18:06,b825111f5d
49de9eafa10390948547749690a3282d,Leisure,1,1,1,5,5,5,1,1,1,3,The connection speed was so slow we left the handy in the hotel because it took forever to load anything , ending up useless.

I wish we could tether as well.,Adventure Junky,Culture Lover,,,Foodie,Local Explorer,,,I like to plan everything before the trip,0,1,6bb2b83d-559a-11e7-9737-c05627b0f912,2017-06-21 03:15:55,2017-06-21 03:18:08,74eb05d652
548f06f04f2c1c05f78697b91976af72,Leisure,5,5,5,5,5,5,5,5,4,5,,,Culture Lover,,,,,,,I just go with the flow,1,10,71596754-559a-11e7-9e2f-c05627b0f912,2017-06-21 03:14:44,2017-06-21 03:18:18,3888ca1535
41d203439efbeabce97f1909793bdb45,Business,4,5,4,3,3,5,3,3,5,4,,,,,,,,,Business,I would like to ask for suggestions,1,10,7ea25d80-559a-11e7-af92-c05627b0f912,2017-06-21 03:09:30,2017-06-21 03:18:22,ea145307d8
91aad03a6752b525b0f9828482be8125,Leisure,4,4,4,4,4,4,4,4,4,4,
,,,,,,Local Explorer,,,I like to plan everything before the trip,1,8,59b85682-559a-11e7-b78d-c05627b0f912,2017-06-21 03:17:11,2017-06-21 03:18:32,08084d4172
1b98330edcd87de48ba83ced1a6dfa04,Leisure,4,4,4,4,4,3,4,4,4,4,,,Culture Lover,Fashionista,,Foodie,Local Explorer,,,I like to plan everything before the trip,1,8,53af3ceb-559a-11e7-af99-c05627b0f912,2017-06-21 03:17:29,2017-06-21 03:18:34,3befa79e93
c2ac1509d903b817ca06bad065d288df,Leisure,3,5,3,3,3,3,2,2,1,3,Finnish language,,,,,,Local Explorer,,,I like to plan everything before the trip,1,7,4a9eafb5-559a-11e7-bba1-c05627b0f912,2017-06-21 03:15:57,2017-06-21 03:18:45,845e0dde3f
43982a26b696d5a98f4214659ba7408b,Business,4,4,5,5,4,4,3,3,3,4,No,,,,,,Local Explorer,,,I like to plan everything before the trip,1,6,68d278dc-559a-11e7-970a-c05627b0f912,2017-06-21 03:17:06,2017-06-21 03:18:45,323479eb65
a45fdc8e714ec4e9c64ed8205664ee81,Leisure,4,4,4,3,3,3,3,3,3,4,,,,,,,Local Explorer,,,I like to plan everything before the trip,1,8,89946147-559a-11e7-b6f6-c05627b0f912,2017-06-21 03:17:17,2017-06-21 03:18:49,4266ad13a5
